soc10 Occupation Name,F & O Probability,soc10,isco08,Class Level,ISCO Occupation Name,Sector ISIC,ID
"Plant and System Operators, All Other",0.86,518099,3132,3,Incinerator and Water Treatment Plant Operators,E,3E
"Pump Operators, Except Wellhead Pumpers",0.9,537072,3132,3,Incinerator and Water Treatment Plant Operators,E,3E
Chemical Plant and System Operators,0.85,518091,3133,3,Chemical Processing Plant Controllers,C,3C
Gas Plant Operators,0.78,518092,3134,3,Petroleum and Natural Gas Refining Plant Operators,B,3B
"Petroleum Pump System Operators, Refinery Operators, and Gauges",0.71,518093,3134,3,Petroleum and Natural Gas Refining Plant Operators,B,3B
Gas Compressor and Gas Pumping Station Operators,0.91,537071,3134,3,Petroleum and Natural Gas Refining Plant Operators,B,3B
"Pump Operators, Except Wellhead Pumpers",0.9,537072,3134,3,Petroleum and Natural Gas Refining Plant Operators,B,3B
Metal-Refining Furnace Operators and Tenders,0.88,514051,3135,3,Metal Production Process Controllers,C,3C
"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",0.36,514012,3139,3,Process Control Technicians Not Elsewhere Classified,C,3C
Biological Technicians,0.3,194021,3141,3,Life Science Technicians (excluding Medical),M,3M
"Environmental Science and Protection Technicians, Including Health",0.77,194091,3141,3,Life Science Technicians (excluding Medical),O,3O
Agricultural and Food Science Technicians,0.97,194011,3142,3,Agricultural Technicians,A,3A
Forest and Conservation Technicians,0.42,194093,3143,3,Forestry Technicians,A,3A
First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,0.029,531031,3151,3,Ships’ Engineers,C,3C
Aircraft Mechanics and Service Technicians,0.71,532022,3151,3,Ships’ Engineers,C,3C
Ship Engineers,0.041,535031,3151,3,Ships’ Engineers,C,3C
First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,0.029,531031,3152,3,Ships' Deck Officers and Pilots,H,3H
Aircraft Mechanics and Service Technicians,0.71,532022,3152,3,Ships' Deck Officers and Pilots,H,3H
"Captains, Mates, Pilots of Water Vessels",0.27,535021,3152,3,Ships' Deck Officers and Pilots,H,3H
First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,0.029,531031,3153,3,Aircraft Pilots and Related Associate Professionals,H,3H
"Airline Pilots, Co-pilots, and Flight Engineers",0.18,532011,3153,3,Aircraft Pilots and Related Associate Professionals,H,3H
Commercial Pilots,0.55,532012,3153,3,Aircraft Pilots and Related Associate Professionals,H,3H
Aircraft Mechanics and Service Technicians,0.71,532022,3153,3,Aircraft Pilots and Related Associate Professionals,H,3H
First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,0.029,531031,3154,3,Air Traffic Controllers,H,3H
Air Traffic Controllers,0.11,532021,3154,3,Air Traffic Controllers,H,3H
Aircraft Mechanics and Service Technicians,0.71,532022,3154,3,Air Traffic Controllers,H,3H
Electrical and Electronics Engineering Technicians,0.84,173023,3155,3,Air Traffic Safety Electronics Technicians,C,3C
Aircraft Mechanics and Service Technicians,0.71,532022,3155,3,Air Traffic Safety Electronics Technicians,C,3C
Radiation Therapists,0.34,291124,3211,3,Medical Imaging and Therapeutic Equipment Technicians,Q,3Q
Diagnostic Medical Sonographers,0.35,292032,3211,3,Medical Imaging and Therapeutic Equipment Technicians,Q,3Q
Nuclear Medicine Technologists,0.13,292033,3211,3,Medical Imaging and Therapeutic Equipment Technicians,Q,3Q
-,-,292034,3211,3,Medical Imaging and Therapeutic Equipment Technicians,-,3-
-,-,292035,3211,3,Medical Imaging and Therapeutic Equipment Technicians,-,3-
Medical and Clinical Laboratory Technologists,0.9,292011,3212,3,Medical and Pathology Laboratory Technicians,Q,3Q
Medical and Clinical Laboratory Technicians,0.48,292012,3212,3,Medical and Pathology Laboratory Technicians,Q,3Q
Pharmacy Technicians,0.92,292052,3213,3,Pharmaceutical Technicians and Assistants,Q,3Q
Orthotists and Prosthetists,0.0035,292091,3214,3,Medical and Dental Prosthetic Technicians,Q,3Q
-,-,292092,3214,3,Medical and Dental Prosthetic Technicians,-,3-
Dental Laboratory Technicians,0.97,519081,3214,3,Medical and Dental Prosthetic Technicians,Q,3Q
Medical Appliance Technicians,0.45,519082,3214,3,Medical and Dental Prosthetic Technicians,Q,3Q
Licensed Practical and Licensed Vocational Nurses,0.058,292061,3221,3,Nursing Associate Professionals,Q,3Q
-,-,299099,3222,3,Midwifery Associate Professionals,-,3-
-,-,299099,3230,3,Traditional and Complementary Medicine Associate Professionals,-,3-
Veterinary Technologists and Technicians,0.029,292056,3240,3,Veterinary Technicians and Assistant,M,3M
Veterinary Assistants and Laboratory Animal Caretakers,0.86,319096,3240,3,Veterinary Technicians and Assistant,M,3M
Dental Hygienists,0.68,292021,3251,3,Dental Assistants and Therapists,Q,3Q
Dental Assistants,0.51,319091,3251,3,Dental Assistants and Therapists,Q,3Q
Medical Records and Health Information Technicians,0.91,292071,3252,3,Medical Records and Health Information Technicians,Q,3Q
-,-,211094,3253,3,Community Health Workers,-,3-
"Opticians, Dispensing",0.71,292081,3254,3,Dispensing Opticians,Q,3Q
"Health Diagnosing and Treating Practitioners, All Other",0.02,291199,3255,3,Physiotherapy Technicians and Assistants,Q,3Q
Physical Therapists Assistants,0.018,312021,3255,3,Physiotherapy Technicians and Assistants,Q,3Q
Message Therapists,0.54,319011,3255,3,Physiotherapy Technicians and Assistants,Q,3Q
-,-,292057,3256,3,Medical Assistants,-,3-
Medical Assistants,0.3,319092,3256,3,Medical Assistants,Q,3Q
Occupational Health and Safety Technicians,0.25,299012,3257,3,Environmental and Occupational Health Inspectors and Associates,O,3O
Agricultural Inspectors,0.94,452011,3257,3,Environmental and Occupational Health Inspectors and Associates,A,3A
First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,0.029,531031,3257,3,Environmental and Occupational Health Inspectors and Associates,H,3H
Transportation Inspectors,0.9,536051,3257,3,Environmental and Occupational Health Inspectors and Associates,H,3H
Emergency Medical Technicians and Paramedics,0.049,292041,3258,3,Ambulance Workers,Q,3Q
Respiratory Therapists,0.066,291126,3259,3,Health Associate Professionals Not Elsewhere Classified,Q,3Q
Cardiovascular Technologists and Technicians,0.23,292031,3259,3,Health Associate Professionals Not Elsewhere Classified,Q,3Q
Dietetic Technicians,0.13,292051,3259,3,Health Associate Professionals Not Elsewhere Classified,Q,3Q
Psychiatric Technicians,0.043,292053,3259,3,Health Associate Professionals Not Elsewhere Classified,Q,3Q
Respiratory Therapy Technicians,0.1,292054,3259,3,Health Associate Professionals Not Elsewhere Classified,Q,3Q
-,-,292099,3259,3,Health Associate Professionals Not Elsewhere Classified,-,3-
-,-,299099,3259,3,Health Associate Professionals Not Elsewhere Classified,-,3-
Occupational Therapy Assistants,0.028,312011,3259,3,Health Associate Professionals Not Elsewhere Classified,Q,3Q
-,-,319099,3259,3,Health Associate Professionals Not Elsewhere Classified,-,3-
First-Line Supervisors of Non-Retail Sales Workers,0.075,411012,3311,3,Securities and Finance Dealers and Brokers,K,3K
"Securities, Commodities, and Financial Services Sales Agents",0.016,413031,3311,3,Securities and Finance Dealers and Brokers,K,3K
Credit Counsellors,0.04,132071,3312,3,Credit and Loans Officers,K,3K
"Loan Officers, label 1",0.98,132072,3312,3,Credit and Loans Officers,K,3K
"Bookkeeping, Accounting, and Auditing Clerk",0.98,433031,3313,3,Accounting Associate Professionals,M,3M
Mathematical Technicians,0.99,152091,3314,3,"Statistical, Mathematical and Related Associate Professionals",M,3M
-,-,152099,3314,3,"Statistical, Mathematical and Related Associate Professionals",-,3-
Social Science Research Assistants,0.65,194061,3314,3,"Statistical, Mathematical and Related Associate Professionals",M,3M
Statistical Assistants,0.66,439111,3314,3,"Statistical, Mathematical and Related Associate Professionals",M,3M
"Claims Adjusters, Examiners, and Investigators, label 1",0.98,131031,3315,3,Valuers and Loss Assessors,K,3K
"Insurance Appraisers, Auto Damage",0.98,131032,3315,3,Valuers and Loss Assessors,K,3K
Appraisers and Assessors of Real Estate,0.9,132021,3315,3,Valuers and Loss Assessors,K,3K
"Insurance Underwriters, label 1",0.99,132053,3321,3,Insurance Representatives,K,3K
First-Line Supervisors of Non-Retail Sales Workers,0.075,411012,3321,3,Insurance Representatives,K,3K
Insurance Sales Agents,0.92,413021,3321,3,Insurance Representatives,K,3K
First-Line Supervisors of Non-Retail Sales Workers,0.075,411012,3322,3,Commercial Sales Representatives,G,3G
-,-,413099,3322,3,Commercial Sales Representatives,-,3-
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",0.25,414011,3322,3,Commercial Sales Representatives,G,3G
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",0.85,414012,3322,3,Commercial Sales Representatives,G,3G
"Buyers and Purchasing Agents, Farm Products",0.87,131021,3323,3,Buyers,M,3M
"Wholesale and Retail Buyers, Except Farm Products",0.29,131022,3323,3,Buyers,M,3M
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",0.77,131023,3323,3,Buyers,M,3M
First-Line Supervisors of Non-Retail Sales Workers,0.075,411012,3324,3,Trade Brokers,M,3M
"Securities, Commodities, and Financial Services Sales Agents",0.016,413031,3324,3,Trade Brokers,K,3K
Cargo and Freight Agent,0.99,435011,3324,3,Trade Brokers,H,3H
Cargo and Freight Agent,0.99,435011,3331,3,Clearing and Forwarding Agents,H,3H
"Shipping, Receiving, and Traffic Clerks",0.98,435071,3331,3,Clearing and Forwarding Agents,H,3H
"Meeting, Convention, and Event Planners, label 0",0.037,131121,3332,3,Conference and Event Planners,N,3N
-,-,131071,3333,3,Employment Agents and Contractors,-,3-
"Farm Labour Contractors, label 1",0.97,131074,3333,3,Employment Agents and Contractors,A,3A
"Property, Real Estate, and Community Association Managers",0.81,119141,3334,3,Real Estate Agents and Property Managers,L,3L
First-Line Supervisors of Non-Retail Sales Workers,0.075,411012,3334,3,Real Estate Agents and Property Managers,L,3L
Real Estate Brokers,0.97,419021,3334,3,Real Estate Agents and Property Managers,L,3L
Real Estate Sales Agents,0.86,419022,3334,3,Real Estate Agents and Property Managers,L,3L
"Agents and Business Mangers of Artists, Performers, and Athletes",0.24,131011,3339,3,Business Services Agents Not Elsewhere Classified,M,3M
Cost Estimators,0.57,131051,3339,3,Business Services Agents Not Elsewhere Classified,K,3K
"Business Operations Specialists, All Other",0.23,131199,3339,3,Business Services Agents Not Elsewhere Classified,S,3S
Financial Specialists,0.33,132099,3339,3,Business Services Agents Not Elsewhere Classified,K,3K
First-Line Supervisors of Non-Retail Sales Workers,0.075,411012,3339,3,Business Services Agents Not Elsewhere Classified,G,3G
Advertising Sales Agent,0.54,413011,3339,3,Business Services Agents Not Elsewhere Classified,M,3M
-,-,413041,3339,3,Business Services Agents Not Elsewhere Classified,-,3-
-,-,419099,3339,3,Business Services Agents Not Elsewhere Classified,-,3-
First-Line Supervisors of Office Administrative Support Workers,0.014,431011,3341,3,Office Supervisors,N,3N
Legal Secretaries,0.98,436012,3342,3,Legal Secretaries,N,3N
Court Reporters,0.5,232091,3343,3,Administrative and Executive Secretaries,O,3O
Executive Secretaries and Executive Administrative Assistants,0.86,436011,3343,3,Administrative and Executive Secretaries,N,3N
"Medical Transcriptionists, label 1",0.89,319094,3344,3,Medical Secretaries,Q,3Q
Medical Secretaries,0.81,436013,3344,3,Medical Secretaries,Q,3Q
"Compliance Officers, label 0",0.08,131041,3351,3,Customs and Border Inspectors,H,3H
First-Line Supervisors of Police Detectives,0.0044,331012,3351,3,Customs and Border Inspectors,H,3H
Police and Sheriff's Patrol Officers,0.098,333051,3351,3,Customs and Border Inspectors,H,3H
"Tax Examiners and Collectors, and Revenue Agents, label 1",0.93,132081,3352,3,Government Tax and Excise Officials,O,3O
"Compliance Officers, label 0",0.08,131041,3353,3,Government Social Benefits Officials,O,3O
"Eligibility Interviewers, Government Programs",0.7,434061,3353,3,Government Social Benefits Officials,O,3O
"Compliance Officers, label 0",0.08,131041,3354,3,Government Licensing Officials,O,3O
"Court, Municipal, License Clerks",0.46,434031,3354,3,Government Licensing Officials,O,3O
First-Line Supervisors of Police Detectives,0.0044,331012,3355,3,Police Inspectors and Detectives,O,3O
Detectives and Criminal Investigators,0.34,333021,3355,3,Police Inspectors and Detectives,O,3O
Agricultural Inspectors,0.94,452011,3359,3,Government Regulatory Associate Professionals Not Elsewhere Classified,O,3O
"Judicial Law Clerks, label 1",0.41,231012,3411,3,Legal and Related Associate Professionals,M,3M
"Paralegals and Legal Assistants, label 1",0.94,232011,3411,3,Legal and Related Associate Professionals,M,3M
"Title Examiners, Abstractors, and Searchers",0.99,232093,3411,3,Legal and Related Associate Professionals,M,3M
-,-,232099,3411,3,Legal and Related Associate Professionals,-,3-
Bailiffs,0.36,333011,3411,3,Legal and Related Associate Professionals,M,3M
Private Detectives and Investigators,0.31,339021,3411,3,Legal and Related Associate Professionals,M,3M
Gaming Surveillance Officers and Gaming Investigators,0.95,339031,3411,3,Legal and Related Associate Professionals,R,3R
Social and Human Service Assistants,0.13,211093,3412,3,Social Work Associate Professionals,Q,3Q
-,-,212099,3413,3,Religious Associate Professionals,-,3-
"Athletes and Sports Competitors, label 0",0.28,272021,3421,3,Athletes and Sports Players,R,3R
Self-Enrichment Education Teachers,0.13,253021,3422,3,"Sports Coaches, Instructors and Officials",R,3R
Coaches and Scouts,0.013,272022,3422,3,"Sports Coaches, Instructors and Officials",R,3R
"Umpires, Referees, and Other Sports Officials",0.98,272023,3422,3,"Sports Coaches, Instructors and Officials",R,3R
Self-Enrichment Education Teachers,0.13,253021,3423,3,Fitness and Recreation Instructors and Programme Leaders,P,3P
Athletic Trainers,0.0071,299091,3423,3,Fitness and Recreation Instructors and Programme Leaders,R,3R
First-Line Supervisors of Personal Service Workers,0.076,391021,3423,3,Fitness and Recreation Instructors and Programme Leaders,R,3R
Fitness Trainers and Aerobics Instructors,0.085,399031,3423,3,Fitness and Recreation Instructors and Programme Leaders,R,3R
Photographers,0.021,274021,3431,3,Photographers,M,3M
Interior Designers,0.022,271025,3432,3,Interior Designers and Decorators,M,3M
Merchandise Displayers and Window Trimmers,0.48,271026,3432,3,Interior Designers and Decorators,G,3G
Set and Exhibit Designers,0.0055,271027,3432,3,Interior Designers and Decorators,R,3R
Museum Technicians and Conservators,0.59,254013,3433,3,"Gallery, Museum and Library Technicians",R,3R
Library Technicians,0.99,254031,3433,3,"Gallery, Museum and Library Technicians",R,3R
Craft Artists,0.035,271012,3433,3,"Gallery, Museum and Library Technicians",R,3R
"Chefs and Head Cooks, label 0",0.1,351011,3434,3,Chefs,I,3I
 First-Line Supervisors of Food Preparation and Serving Workers,0.63,351012,3434,3,Chefs,I,3I
-,-,271019,3435,3,Other Artistic and Cultural Associate Professionals,-,3-
-,-,272099,3435,3,Other Artistic and Cultural Associate Professionals,-,3-
-,-,273099,3435,3,Other Artistic and Cultural Associate Professionals,-,3-
-,-,274099,3435,3,Other Artistic and Cultural Associate Professionals,-,3-
Costume Attendants,0.61,393092,3435,3,Other Artistic and Cultural Associate Professionals,R,3R
-,-,393099,3435,3,Other Artistic and Cultural Associate Professionals,-,3-
Computer Operators,0.78,439011,3511,3,Information and Communications Technology Operations Technicians,J,3J
-,-,151151,3512,3,Information and Communications Technology User Support Technicians,-,3-
-,-,151152,3513,3,Computer Network and Systems Technicians,-,3-
-,-,151134,3514,3,Web Technicians,-,3-
Network and Computer Systems Administrators,0.03,151142,3514,3,Web Technicians,J,3J
Audio and Video Equipment Technicians,0.55,274011,3521,3,Broadcasting and Audio-visual Technicians,J,3J
Broadcast Technicians,0.74,274012,3521,3,Broadcasting and Audio-visual Technicians,J,3J
Radio Operators,0.98,274013,3521,3,Broadcasting and Audio-visual Technicians,J,3J
Sound Engineering Technicians,0.13,274014,3521,3,Broadcasting and Audio-visual Technicians,J,3J
"Camera Operators, Television, Video, and Motion Picture",0.6,274031,3521,3,Broadcasting and Audio-visual Technicians,J,3J
-,-,274099,3521,3,Broadcasting and Audio-visual Technicians,-,3-
Electrical and Electronics Engineering Technicians,0.84,173023,3522,3,Telecommunications Engineering Technicians,J,3J
Procurement Clerks,0.98,433061,4110,4,General Office Clerks,N,4N
"Office Clerks, General",0.96,439061,4110,4,General Office Clerks,N,4N
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",0.96,436014,4120,4,Secretaries (general) - Agriculture,A,4A
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",0.96,436014,4120,4,Secretaries (general) -Mining,B,4B
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",0.96,436014,4120,4,Secretaries (general) - Manufacturing,C,4C
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",0.96,436014,4120,4,"Secretaries (general) - Electricity, gas, etc.",D,4D
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",0.96,436014,4120,4,Secretaries (general) - water supply,E,4E
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",0.96,436014,4120,4,Secretaries (general) - Construction,F,4F
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",0.96,436014,4120,4,Secretaries (general) - Education,P,4P
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",0.96,436014,4119,4,Secretaries (general) - Real Estate,L,4L
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",0.96,436014,4120,4,Secretaries (general),N,4N
Word Processors and Typists,0.81,439022,4131,4,Typists and Word Processing Operators,N,4N
"Data Entry Keyers, label 1",0.99,439021,4132,4,Data Entry Clerks,J,4J
Tellers,0.98,433071,4211,4,Bank Tellers and Related Clerks,K,4K
Postal Service Clerks,0.95,435051,4211,4,Bank Tellers and Related Clerks,H,4H
Gaming Supervisors,0.28,391011,4212,4,"Bookmakers, Croupiers and Related Gaming Workers",R,4R
Slot Supervisors,0.54,391012,4212,4,"Bookmakers, Croupiers and Related Gaming Workers",R,4R
"Gaming Dealers, label 1",0.96,393011,4212,4,"Bookmakers, Croupiers and Related Gaming Workers",R,4R
Gaming and Sports Book Writers and Runners,0.91,393012,4212,4,"Bookmakers, Croupiers and Related Gaming Workers",R,4R
-,-,393019,4212,4,"Bookmakers, Croupiers and Related Gaming Workers",-,4-
Gaming Cage Workers,0.39,433041,4212,4,"Bookmakers, Croupiers and Related Gaming Workers",R,4R
-,-,419099,4213,4,Pawnbrokers and Money-lenders,-,4-
-,-,433099,4213,4,Pawnbrokers and Money-lenders,-,4-
-,-,131131,4214,4,Debt Collectors and Related Workers,-,4-
Bill and Account Collectors,0.95,433011,4214,4,Debt Collectors and Related Workers,N,4N
First-Line Supervisors of Non-Retail Sales Workers,0.075,411012,4221,4,Travel Consultants and Clerks,N,4N
Travel Agents,0.099,413041,4221,4,Travel Consultants and Clerks,N,4N
Reservation and Transportation Ticket Agents and Travel Clerks,0.61,434181,4221,4,Travel Consultants and Clerks,N,4N
Customer Service Representatives,0.55,434051,4222,4,Contact Centre Information Clerks -Agriculture,A,4A
Customer Service Representatives,0.55,434051,4222,4,Contact Centre Information Clerks - Mining,B,4B
Customer Service Representatives,0.55,434051,4222,4,Contact Centre Information Clerks- Manufacturing,C,4C
Customer Service Representatives,0.55,434051,4222,4,Contact Centre Information Clerks - Electrical,D,4D
Customer Service Representatives,0.55,434051,4222,4,Contact Centre Information Clerks - Water Supply,E,4E
Customer Service Representatives,0.55,434051,4222,4,Contact Centre Information Clerks - Construction,F,4F
Customer Service Representatives,0.55,434051,4222,4,Contact Centre Information Clerks - Real Estate,L,4L
Customer Service Representatives,0.55,434051,4222,4,Contact Centre Information Clerks - Trade Unions,S,4S
Customer Service Representatives,0.55,434051,4222,4,Contact Centre Information Clerks - general,N,4N
Receptionists and Information Clerks,0.96,434171,4222,4,Contact Centre Information Clerks,N,4N
"Switchboard Operators, Including Answering Service, label 1",0.96,432011,4223,4,Telephone Switchboard Operators,J,4J
Telephone Operators,0.97,432021,4223,4,Telephone Switchboard Operators,J,4J
"Concierges, label 0",0.21,396012,4224,4,Hotel Receptionists,I,4I
"Hotel, Motel, and Resort Desk Clerks",0.94,434081,4224,4,Hotel Receptionists,I,4I
Correspondence Clerks,0.86,434021,4225,4,Inquiry Clerks,N,4N
Receptionists and Information Clerks,0.96,434171,4225,4,Inquiry Clerks,N,4N
Receptionists and Information Clerks,0.96,434171,4226,4,Receptionists (general),N,4N
"Interviewers, Except Eligibility and Loan",0.94,434111,4227,4,Survey and Market Research Interviewers,M,4M
-,-,432099,4229,4,Client Information Workers Not Classified Elsewhere,-,4-
"Eligibility Interviewers, Government Programs",0.7,434061,4229,4,Client Information Workers Not Classified Elsewhere,O,4O
-,-,434199,4229,4,Client Information Workers Not Classified Elsewhere,-,4-
Billing and Posting Clerks,0.96,433021,4311,4,Accounting and Bookkeeping Clerks,N,4N
"Bookkeeping, Accounting, and Auditing Clerk",0.98,433031,4311,4,Accounting and Bookkeeping Clerks,N,4N
-,-,433099,4312,4,"Statistical, Finance and Insurance Clerks",-,4-
Brokerage Clerks,0.98,434011,4312,4,"Statistical, Finance and Insurance Clerks",L,4L
Brokerage Clerks,0.98,434011,4312,4,"Statistical, Finance and Insurance Clerks",K,4K
"Credit Authorizers, Checkers, and Clerks, label 1",0.97,434041,4312,4,"Statistical, Finance and Insurance Clerks",K,4K
Loan Interviewers and Clerks,0.92,434131,4312,4,"Statistical, Finance and Insurance Clerks",K,4K
New Accounts Clerks,0.99,434141,4312,4,"Statistical, Finance and Insurance Clerks",K,4K
Insurance Claims and Policy Processing Clerks,0.98,439041,4312,4,"Statistical, Finance and Insurance Clerks",K,4K
Payroll and Timekeeping Clerks,0.97,433051,4313,4,Payroll Clerks,N,4N
"Shipping, Receiving, and Traffic Clerks",0.98,435071,4321,4,Stock Clerks,H,4H
Stock Clerks and Order Fillers,0.64,435081,4321,4,Stock Clerks,G,4G
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",0.95,435111,4321,4,Stock Clerks,N,4N
"Production, Planning, and Expediting Clerks",0.88,435061,4322,4,Production Clerks - Agriculture,A,4A
"Production, Planning, and Expediting Clerks",0.88,435061,4322,4,Production Clerks - Mining,B,4B
"Production, Planning, and Expediting Clerks",0.88,435061,4322,4,Production Clerks - Manufactoring,C,4C
"Production, Planning, and Expediting Clerks",0.88,435061,4322,4,Production Clerks - Electrical,D,4D
"Production, Planning, and Expediting Clerks",0.88,435061,4322,4,Production Clerks - Water Supply,E,4E
"Production, Planning, and Expediting Clerks",0.88,435061,4322,4,Production Clerks - Construction,F,4F
"Production, Planning, and Expediting Clerks",0.88,435061,4322,4,Production Clerks,N,4N
"Dispatchers, Except Police, Fire, and Ambulance",0.96,435032,4323,4,Transport Clerks,O,4O
Library Technicians,0.99,254031,4411,4,Library Clerks,R,4R
"Library Assistants, Clerical",0.95,434121,4411,4,Library Clerks,R,4R
"Couriers and Messengers, label 1",0.94,435021,4412,4,Mail Carriers and Sorting Clerks,H,4H
Postal Service Clerks,0.95,435051,4412,4,Mail Carriers and Sorting Clerks,H,4H
Postal Service Mail Carriers,0.68,435052,4412,4,Mail Carriers and Sorting Clerks,H,4H
"Postal Service Mail Sorters, Processors, and Processing Machine Operators",0.79,435053,4412,4,Mail Carriers and Sorting Clerks,H,4H
"Mail Clerks and Mail Machine Operators, Except Postal Service",0.94,439051,4412,4,Mail Carriers and Sorting Clerks,H,4H
Proof-readers and Copy Markers,0.84,439081,4413,4,"Coding, Proofreading, and Related Clerks",N,4N
First-Line Supervisors of Personal Service Workers,0.076,391021,4414,4,Scribes and Related Workers,N,4N
Personal Care Aides,0.74,399021,4414,4,Scribes and Related Workers,Q,4Q
"File Clerks, label 1",0.97,434071,4415,4,Filing and Copying Clerks,N,4N
"Office Machine Operators, Except Computer",0.92,439071,4415,4,Filing and Copying Clerks,N,4N
"Human Resources Assistants, Except Payroll and Timekeeping, label 1",0.9,434161,4416,4,Personnel Clerks,N,4N
Correspondence Clerks,0.86,434021,4419,4,Personnel Clerks,N,4N
Order Clerks,0.98,434151,4419,4,Personnel Clerks,N,4N
-,-,434199,4419,4,Personnel Clerks,-,4-
-,-,439199,4419,4,Personnel Clerks,-,4-
First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,0.029,531031,5111,5,Travel Attendants and Travel Stewards,H,5H
"Flight Attendants, label 0",0.35,532031,5111,5,Travel Attendants and Travel Stewards,I,5I
"Transportation Attendants, Except Flight Attendants",0.75,536061,5111,5,Travel Attendants and Travel Stewards,S,5S
First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,0.029,531031,5112,5,Transport Conductors,H,5H
"Transportation Attendants, Except Flight Attendants",0.75,536061,5112,5,Transport Conductors,H,5H
First-Line Supervisors of Personal Service Workers,0.076,391021,5113,5,Travel Guides,N,5N
Tour Guides and Escorts,0.91,397011,5113,5,Travel Guides,N,5N
Travel Guides,0.057,397012,5113,5,Travel Guides,N,5N
 First-Line Supervisors of Food Preparation and Serving Workers,0.63,351012,5120,5,Cooks,I,5I
"Cooks, Institution and Cafeteria",0.83,352012,5120,5,Cooks,I,5I
"Cooks, Private Household",0.3,352013,5120,5,Cooks,I,5I
"Cooks, Restaurant",0.96,352014,5120,5,Cooks,I,5I
"Cooks, Short Order",0.94,352015,5120,5,Cooks,I,5I
-,-,352019,5120,5,Cooks,-,5-
"Waiters and Waitresses, label 0",0.94,353031,5131,5,Waiters,I,5I
"Food Servers, Non restaurant",0.86,353041,5131,5,Waiters,I,5I
Bartenders,0.77,353011,5132,5,Bartenders,I,5I
First-Line Supervisors of Personal Service Workers,0.076,391021,5141,5,Hairdressers,S,5S
Barbers,0.8,395011,5141,5,Hairdressers,S,5S
"Hairdressers, Hairstylists, and Cosmetologists, label 0",0.11,395012,5141,5,Hairdressers,S,5S
First-Line Supervisors of Personal Service Workers,0.076,391021,5142,5,Beauticians and Related Workers,S,5S
"Hairdressers, Hairstylists, and Cosmetologists, label 0",0.11,395012,5142,5,Beauticians and Related Workers,S,5S
"Makeup Artists, Theatrical Performance",0.01,395091,5142,5,Beauticians and Related Workers,S,5S
Manicurists and Pedicurists,0.95,395092,5142,5,Beauticians and Related Workers,S,5S
Shampooers,0.79,395093,5142,5,Beauticians and Related Workers,S,5S
Skincare Specialists,0.29,395094,5142,5,Beauticians and Related Workers,S,5S
First-Line Supervisors of Housekeeping and Janitorial Workers,0.94,371011,5151,5,"Cleaning and Housekeeping Supervisors in Offices, Hotels and Other Establishments",N,5N
First-Line Supervisors of Housekeeping and Janitorial Workers,0.94,371011,5152,5,Domestic Housekeepers,T,5T
-,-,399099,5152,5,Domestic Housekeepers,T,5T
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",0.66,372011,5153,5,Building Caretakers,N,5N
-,-,272099,5161,5,"Astrologers, Fortune-tellers and Related Workers",-,5-
First-Line Supervisors of Personal Service Workers,0.076,391021,5162,5,Companions and Valets,T,5T
Personal Care Aides,0.74,399021,5162,5,Companions and Valets,T,5T
-,-,399099,5162,5,Companions and Valets,-,5-
Embalmers,0.54,394011,5163,5,Undertakers and Embalmers,S,5S
Funeral Attendants,0.37,394021,5163,5,Undertakers and Embalmers,S,5S
"Funeral Service Managers, Directors, Morticians, and Undertakers",0.2,394031,5163,5,Undertakers and Embalmers,S,5S
Veterinary Assistants and Laboratory Animal Caretakers,0.86,319096,5164,5,Pet Groomers and Animal Care Workers,M,5M
First-Line Supervisors of Personal Service Workers,0.076,391021,5164,5,Pet Groomers and Animal Care Workers,M,5M
Animal Trainers,0.1,392011,5164,5,Pet Groomers and Animal Care Workers,S,5S
Nonfarm Animal Caretakers,0.82,392021,5164,5,Pet Groomers and Animal Care Workers, S,5 S
Self-Enrichment Education Teachers,0.13,253021,5165,5,Driving Instructors,P,5P
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",0.97,359031,5169,5,Personal Services Workers Not Elsewhere Classified,I,5I
